Participant ID,Condition,Round Number,Click Number,Click Time (ms),Is First Click,Is Last Click,Is Middle Click,Total Clicks in Round
67e47f18bd517bc7e964ffdb,color,4,10,1166,0,1,0,11
67e47f18bd517bc7e964ffdb,color,5,0,627,1,0,0,11
67e47f18bd517bc7e964ffdb,color,5,1,366,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,2,384,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,3,284,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,4,632,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,5,985,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,6,847,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,7,467,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,8,1158,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,9,3942,0,0,1,11
67e47f18bd517bc7e964ffdb,color,5,10,1616,0,1,0,11
67e47f18bd517bc7e964ffdb,color,6,0,543,1,0,0,11
67e47f18bd517bc7e964ffdb,color,6,1,548,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,2,461,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,3,241,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,4,298,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,5,189,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,6,192,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,7,2884,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,8,568,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,9,765,0,0,1,11
67e47f18bd517bc7e964ffdb,color,6,10,667,0,1,0,11
67e47f18bd517bc7e964ffdb,color,7,0,625,1,0,0,11
67e47f18bd517bc7e964ffdb,color,7,1,383,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,2,186,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,3,181,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,4,149,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,5,182,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,6,183,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,7,732,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,8,169,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,9,182,0,0,1,11
67e47f18bd517bc7e964ffdb,color,7,10,185,0,1,0,11
67e47f18bd517bc7e964ffdb,monochrome,1,0,382,1,0,0,11
67e47f18bd517bc7e964ffdb,monochrome,1,1,251,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,1,2,234,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,1,3,233,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,1,4,183,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,1,5,189,0,0,1,11
67e47f18bd517bc7e964ffdb,monochrome,1,6,217,0,0,1,11
